connectedToHost,connectedToPort,host,port,timestamp,currentTime
88.99.167.175,8333,88.99.167.175,8333,1599221104,1599221104.0393941
88.99.167.175,8333,176.9.125.173,8333,1599221141,1599221216.9633236
88.99.167.175,8333,2a01:4f8:120:4236::2,8333,1599221193,1599221231.8700583
88.99.167.175,8333,5.39.90.110,8333,1599221220,1599221231.8700583
88.99.167.175,8333,68.146.105.4,8333,1599221133,1599221328.4008474
88.99.167.175,8333,193.29.57.190,36249,1599221210,1599221386.1211135
88.99.167.175,8333,112.213.179.18,8333,1599221318,1599221386.1211135
88.99.167.175,8333,2a01:e34:ec2a:af0:4637:e6ff:fe49:d00f,8333,1599221373,1599221386.1211135
88.99.167.175,8333,35.163.176.184,8333,1599220889,1599221386.1211135
37.153.1.150,8333,37.153.1.150,8333,1599221103,1599221104.0753722
37.153.1.150,8333,104.248.165.25,8333,1599221188,1599221206.9068348
37.153.1.150,8333,217.182.172.114,8333,1599221285,1599221289.1210778
37.153.1.150,8333,94.52.112.227,8333,1599221485,1599221289.1210778
37.153.1.150,8333,107.4.30.149,8333,1599221570,1599221289.1210778
