host,port
88.99.167.175,8333
88.99.167.186,8333
2a01:4f8:10a:37ee::2,8333
54.149.133.143,8333
3.15.34.184,8333
3.15.31.212,8333
54.219.185.231,8333
134.122.22.241,8333
34.216.162.155,8333
34.106.151.6,8333
34.220.235.52,8333
35.236.118.211,8333
167.99.4.53,8333
18.220.55.245,8333
34.86.94.66,8333
34.94.90.131,8333
18.219.91.100,8333
128.199.4.104,8333
34.220.27.243,8333
52.89.150.155,8333
168.119.167.175,8333
159.89.108.149,8333
168.119.174.140,8333
168.119.174.82,8333
138.68.66.63,8333
168.119.96.193,8333
168.119.174.82,8333
138.68.66.63,8333
168.119.96.193,8333
168.119.176.228,8333
168.119.168.188,8333
168.119.153.9,8333
168.119.176.220,8333
134.209.226.30,8333
148.251.237.73,8333
168.119.163.115,8333
134.209.226.20,8333
168.119.174.106,8333
134.209.234.7,8333
168.119.172.114,8333
138.197.180.164,8333
206.189.63.80,8333
134.209.226.153,8333
168.119.174.53,8333
178.26.169.174,8333
138.68.73.240,8333
168.119.174.142,8333
134.209.226.60,8333
168.119.172.142,8333
104.248.134.104,8333
