connectedToHost,connectedToPort,host,port,timestamp,currentTime
88.99.167.175,8333,96.126.122.17,8333,1599190844,1599219608.1092086
88.99.167.175,8333,68.183.138.36,8333,1598100411,1599219608.1092086
88.99.167.175,8333,2001:a61:2aea:5501:3d6d:63f4:5fa5:8bca,8333,1597428861,1599219608.1092086
88.99.167.175,8333,134.249.170.93,8333,1598380727,1599219608.1092086
88.99.167.175,8333,160.2.202.163,8333,1598622561,1599219608.1092086
88.99.167.175,8333,2600:6c67:8780:175f:659a:d636:ea52:fd76,8333,1596798766,1599219608.1092086
88.99.167.175,8333,90.219.95.15,8333,1596761006,1599219608.1092086
88.99.167.175,8333,102.129.63.52,8333,1597734594,1599219608.1092086
88.99.167.175,8333,217.235.187.163,8333,1599176168,1599219608.1092086
88.99.167.175,8333,104.247.238.59,8333,1596658214,1599219608.1092086
88.99.167.175,8333,2001:16b8:50e4:ad00:79af:765e:7bbe:8c36,8333,1599030127,1599219608.1092086
88.99.167.175,8333,102.67.178.199,8333,1599172969,1599219608.1092086
88.99.167.175,8333,54.185.108.174,8333,1599205238,1599219608.1092086
88.99.167.175,8333,111.252.120.37,8333,1596869376,1599219608.1092086
88.99.167.175,8333,185.225.112.4,39388,1597751826,1599219608.1092086
88.99.167.175,8333,193.148.18.70,8333,1598888648,1599219608.1092086
88.99.167.175,8333,64.225.126.145,8333,1597179077,1599219608.1092086
88.99.167.175,8333,2a02:a44f:15e2:1:41dc:13ed:ab37:a620,8333,1598530416,1599219608.1092086
88.99.167.175,8333,2601:987:280:b990::b4d1,8333,1598344822,1599219608.1092086
88.99.167.175,8333,88.155.74.189,8333,1597681949,1599219608.1092086
88.99.167.175,8333,162.219.176.3,8333,1597491997,1599219608.1092086
88.99.167.175,8333,197.185.107.188,8333,1597721169,1599219608.1092086
88.99.167.175,8333,190.162.55.215,8333,1598325368,1599219608.1092086
88.99.167.175,8333,2001:0:2851:b9f0:3c80:893e:848e:f090,8333,1598850165,1599219608.1092086
88.99.167.175,8333,2001:7d0:81cd:f080:5064:c56b:100:6012,8333,1597501990,1599219608.1092086
88.99.167.175,8333,84.17.52.75,8333,1597143026,1599219608.1092086
88.99.167.175,8333,94.140.139.38,8333,1599176041,1599219608.1092086
88.99.167.175,8333,144.76.170.173,8333,1599168212,1599219608.1092086
88.99.167.175,8333,79.224.237.64,39388,1596930464,1599219608.1092086
88.99.167.175,8333,87.123.36.185,8333,1596918190,1599219608.1092086
88.99.167.175,8333,94.158.93.121,8333,1597185050,1599219608.1092086
88.99.167.175,8333,2a02:e00:fff0:1e2::1,8333,1599177918,1599219608.1092086
88.99.167.175,8333,117.100.101.164,8333,1596861693,1599219608.1092086
88.99.167.175,8333,95.188.84.199,8333,1598829495,1599219608.1092086
88.99.167.175,8333,196.196.203.20,8333,1598362112,1599219608.1092086
88.99.167.175,8333,93.107.69.129,8333,1598738937,1599219608.1092086
88.99.167.175,8333,120.12.200.115,8333,1597291180,1599219608.1092086
88.99.167.175,8333,2c0f:f8f0:38df:0:9bf:aeed:d31d:1561,8333,1598096291,1599219608.1092086
88.99.167.175,8333,52.189.194.176,8333,1597982249,1599219608.1092086
88.99.167.175,8333,128.141.144.165,8333,1597902617,1599219608.1092086
88.99.167.175,8333,185.25.48.10,8333,1598764494,1599219608.1092086
88.99.167.175,8333,125.64.9.146,20546,1599170869,1599219608.1092086
88.99.167.175,8333,83.13.220.153,8333,1598851042,1599219608.1092086
88.99.167.175,8333,2001:f40:904:34cb:f8ca:d143:3e55:8ee2,8333,1597573200,1599219608.1092086
88.99.167.175,8333,124.218.69.93,8333,1599072762,1599219608.1092086
88.99.167.175,8333,194.59.251.46,8333,1598125134,1599219608.1092086
88.99.167.175,8333,79.154.169.215,8333,1598817105,1599219608.1092086
88.99.167.175,8333,165.231.33.108,8333,1598355557,1599219608.1092086
88.99.167.175,8333,72.191.192.150,8333,1598984460,1599219608.1092086
88.99.167.175,8333,5.56.133.151,8333,1599095371,1599219608.1092086
88.99.167.175,8333,2a02:8070:e19b:be00:448c:8e11:b995:fec7,8333,1597757034,1599219608.1092086
88.99.167.175,8333,94.224.165.17,8333,1598524625,1599219608.1092086
88.99.167.175,8333,183.177.249.1,20008,1599170631,1599219608.1092086
88.99.167.175,8333,78.47.91.239,39388,1599037151,1599219608.1092086
88.99.167.175,8333,2a01:4f8:191:3165::2,8333,1599208484,1599219608.1092086
88.99.167.175,8333,60.224.132.39,8333,1598505925,1599219608.1092086
88.99.167.175,8333,116.7.99.82,8333,1598056668,1599219608.1092086
88.99.167.175,8333,31.214.172.204,8333,1599028949,1599219608.1092086
88.99.167.175,8333,2600:1700:5280:3200:b5f6:59d9:c09b:c49b,8333,1597196316,1599219608.1092086
88.99.167.175,8333,2001:16b8:64fe:2600:9525:69c6:cc91:605a,8333,1599208248,1599219608.1092086
88.99.167.175,8333,80.187.110.152,8333,1596971819,1599219608.1092086
88.99.167.175,8333,49.36.53.87,8333,1597483428,1599219608.1092086
88.99.167.175,8333,217.31.19.18,8333,1597082075,1599219608.1092086
88.99.167.175,8333,95.143.218.179,8333,1599200739,1599219608.1092086
88.99.167.175,8333,46.208.245.36,8333,1597694182,1599219608.1092086
88.99.167.175,8333,2a01:4f9:2a:2b86::2,8333,1599209396,1599219608.1092086
88.99.167.175,8333,2001:470:613b:2000:30a0:9a4e:a6a3:d2a,8333,1598501140,1599219608.1092086
88.99.167.175,8333,79.201.170.83,8333,1597452072,1599219608.1092086
88.99.167.175,8333,79.105.116.221,8333,1597028895,1599219608.1092086
88.99.167.175,8333,97.79.203.242,8333,1599130354,1599219608.1092086
88.99.167.175,8333,37.120.199.38,8333,1598873790,1599219608.1092086
88.99.167.175,8333,112.102.240.240,8333,1598832642,1599219608.1092086
88.99.167.175,8333,37.12.201.46,8333,1599070156,1599219608.1092086
88.99.167.175,8333,123.133.83.200,8333,1599175997,1599219608.1092086
88.99.167.175,8333,93.176.146.27,8333,1599188811,1599219608.1092086
88.99.167.175,8333,54.188.13.254,8333,1597068672,1599219608.1092086
88.99.167.175,8333,179.31.117.150,8333,1597745711,1599219608.1092086
88.99.167.175,8333,109.197.29.204,8333,1596656747,1599219608.1092086
88.99.167.175,8333,109.104.188.204,8333,1599166213,1599219608.1092086
88.99.167.175,8333,92.38.76.251,8333,1597807179,1599219608.1092086
88.99.167.175,8333,82.36.52.59,8333,1597042394,1599219608.1092086
88.99.167.175,8333,208.68.7.129,8333,1598922403,1599219608.1092086
88.99.167.175,8333,2804:14c:f429:865f:67:a36d:6232:20a9,8333,1597016886,1599219608.1092086
88.99.167.175,8333,92.193.188.252,8333,1597079751,1599219608.1092086
88.99.167.175,8333,73.78.77.201,8333,1598899560,1599219608.1092086
88.99.167.175,8333,85.51.159.150,8333,1599077935,1599219608.1092086
88.99.167.175,8333,18.141.174.251,8333,1598336299,1599219608.1092086
88.99.167.175,8333,193.168.0.44,8333,1599081798,1599219608.1092086
88.99.167.175,8333,27.50.157.247,8333,1598145605,1599219608.1092086
